Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;17900156719;"International Review of Sport and Exercise Psychology";journal;"1750984X, 17509858";"Routledge";No;No;4,975;Q1;68;27;33;2681;538;33;16,78;99,30;36,17;0;United Kingdom;Western Europe;"Routledge";"2009-2026";"Applied Psychology (Q1); Sports Science (Q1)";"Health Professions; Psychology"
2;19817;"British Journal of Sports Medicine";journal;"03063674, 14730480";"BMJ Publishing Group";No;No;4,329;Q1;256;315;1146;8914;8052;664;6,10;28,30;35,86;83;United Kingdom;Western Europe;"BMJ Publishing Group";"1964, 1974-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
3;20373;"Sports Medicine";journal;"01121642, 11792035";"Springer International Publishing AG";Yes;No;4,092;Q1;262;143;562;10630;5590;478;8,72;74,34;26,54;24;Switzerland;Western Europe;"Springer International Publishing AG";"1984-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
4;19799;"American Journal of Sports Medicine";journal;"03635465, 15523365";"SAGE Publications Inc.";No;No;3,021;Q1;292;434;1285;15365;8001;1138;5,45;35,40;22,82;25;United States;Northern America;"SAGE Publications Inc.";"1973-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
5;12198;"Journal of Bone and Joint Surgery";journal;"15351386, 00219355";"Lippincott Williams and Wilkins";Yes;No;2,634;Q1;324;447;1221;12835;5603;961;3,93;28,71;20,71;0;United States;Northern America;"Lippincott Williams and Wilkins";"1946-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
6;21100241208;"Bone and Joint Journal";journal;"20494408, 20494394";"British Editorial Society of Bone and Joint Surgery";No;No;2,587;Q1;224;300;810;9632;4267;740;4,91;32,11;19,60;0;United Kingdom;Western Europe;"British Editorial Society of Bone and Joint Surgery";"2013-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
7;14000156196;"International Journal of Sports Physiology and Performance";journal;"15550265, 15550273";"Human Kinetics Publishers Inc.";No;No;2,278;Q1;109;217;660;6189;2802;629;3,43;28,52;18,53;2;United States;Northern America;"Human Kinetics Publishers Inc.";"2006-2026";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
8;15222;"Arthroscopy - Journal of Arthroscopic and Related Surgery";journal;"07498063, 15263231";"W.B. Saunders";No;No;2,277;Q1;203;563;1569;12709;4430;883;2,59;22,57;15,55;13;United States;Northern America;"W.B. Saunders";"1985-2025";"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)";"Health Professions; Medicine"
9;19842;"Exercise and Sport Sciences Reviews";journal;"15383008, 00916331";"Lippincott Williams and Wilkins Ltd.";No;No;1,945;Q1;127;27;117;1782;621;92;4,99;66,00;29,67;0;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1973-2026";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
10;19890;"Knee Surgery, Sports Traumatology, Arthroscopy";journal;"09422056, 14337347";"John Wiley and Sons Inc";No;No;1,806;Q1;167;479;1504;16056;5754;1444;3,69;33,52;17,33;25;Germany;Western Europe;"John Wiley and Sons Inc";"1993-2026";"Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
