Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;19817;"British Journal of Sports Medicine";journal;"03063674, 14730480";"BMJ Publishing Group";No;No;4,141;Q1;256;379;1100;10072;7273;679;6,29;26,58;33,50;96;United Kingdom;Western Europe;"BMJ Publishing Group";"1964, 1974-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
2;19799;"American Journal of Sports Medicine";journal;"03635465, 15523365";"SAGE Publications Inc.";No;No;3,617;Q1;292;432;1233;15428;7924;1109;5,78;35,71;21,12;47;United States;Northern America;"SAGE Publications Inc.";"1973-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
3;20373;"Sports Medicine";journal;"01121642, 11792035";"Springer International Publishing AG";Yes;No;3,194;Q1;262;197;481;14974;4107;414;7,49;76,01;26,25;43;Switzerland;Western Europe;"Springer International Publishing AG";"1984-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
4;38062;"Exercise Immunology Review";journal;"10775552";"Association for the Advancement of Sports Medicine";No;No;2,638;Q1;65;6;26;0;208;23;6,75;0,00;53,66;0;Germany;Western Europe;"Association for the Advancement of Sports Medicine";"1996-2025";"Immunology (Q1); Sports Science (Q1)";"Health Professions; Immunology and Microbiology"
5;21100241208;"Bone and Joint Journal";journal;"20494408, 20494394";"British Editorial Society of Bone and Joint Surgery";No;No;2,427;Q1;224;262;867;8344;3637;811;4,33;31,85;14,79;0;United Kingdom;Western Europe;"British Editorial Society of Bone and Joint Surgery";"2013-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
6;15222;"Arthroscopy - Journal of Arthroscopic and Related Surgery";journal;"07498063, 15263231";"W.B. Saunders";No;No;2,357;Q1;203;587;1223;13566;4164;804;2,97;23,11;14,69;25;United States;Northern America;"W.B. Saunders";"1985-2025";"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)";"Health Professions; Medicine"
7;12198;"Journal of Bone and Joint Surgery";journal;"15351386, 00219355";"Lippincott Williams and Wilkins";Yes;No;2,239;Q1;324;421;1003;11876;4059;810;3,85;28,21;20,13;0;United States;Northern America;"Lippincott Williams and Wilkins";"1946-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
8;19894;"Medicine and Science in Sports and Exercise";journal;"15300315, 01959131";"Lippincott Williams and Wilkins";No;No;2,071;Q1;280;319;924;11421;4326;870;4,43;35,80;33,23;0;United States;Northern America;"Lippincott Williams and Wilkins";"1969-2026";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
9;21723;"Journal of Shoulder and Elbow Surgery";journal;"15326500, 10582746";"Elsevier Inc.";No;No;2,000;Q1;187;383;1036;11045;3687;996;3,23;28,84;19,09;44;United States;Northern America;"Elsevier Inc.";"1992-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
10;23478;"Journal of Physiology";journal;"00223751, 14697793";"John Wiley and Sons Inc";No;No;1,994;Q1;285;545;1676;24354;6358;1451;3,76;44,69;36,33;0;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1878-2026";"Physiology (Q1); Sports Science (Q1)";"Biochemistry, Genetics and Molecular Biology; Health Professions"
