Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;19817;"British Journal of Sports Medicine";journal;"03063674, 14730480";"BMJ Publishing Group";No;No;3,867;Q1;256;309;1071;9171;9098;637;8,63;29,68;32,62;63;United Kingdom;Western Europe;"BMJ Publishing Group";"1964, 1974-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
2;20373;"Sports Medicine";journal;"01121642, 11792035";"Springer International Publishing AG";Yes;No;3,806;Q1;262;168;502;13776;5840;410;10,14;82,00;26,96;25;Switzerland;Western Europe;"Springer International Publishing AG";"1984-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
3;17900156719;"International Review of Sport and Exercise Psychology";journal;"1750984X, 17509858";"Routledge";No;No;3,348;Q1;68;13;50;1497;669;50;7,10;115,15;51,16;0;United Kingdom;Western Europe;"Routledge";"2009-2026";"Applied Psychology (Q1); Sports Science (Q1)";"Health Professions; Psychology"
4;19799;"American Journal of Sports Medicine";journal;"03635465, 15523365";"SAGE Publications Inc.";No;No;2,266;Q1;292;470;1307;17731;8871;1134;6,07;37,73;23,03;18;United States;Northern America;"SAGE Publications Inc.";"1973-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
5;21100241208;"Bone and Joint Journal";journal;"20494408, 20494394";"British Editorial Society of Bone and Joint Surgery";No;No;2,172;Q1;224;312;843;10161;4601;772;5,52;32,57;18,35;0;United Kingdom;Western Europe;"British Editorial Society of Bone and Joint Surgery";"2013-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
6;21100199724;"Qualitative Research in Sport, Exercise and Health";journal;"21596778, 2159676X";"Taylor and Francis Ltd.";No;No;2,060;Q1;57;61;138;3699;1171;137;9,13;60,64;60,87;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2026";"Health (social science) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Social Psychology (Q1); Sports Science (Q1)";"Health Professions; Psychology; Social Sciences"
7;38062;"Exercise Immunology Review";journal;"10775552";"Association for the Advancement of Sports Medicine";No;No;1,932;Q1;65;8;21;0;224;21;12,53;0,00;24,56;0;Germany;Western Europe;"Association for the Advancement of Sports Medicine";"1996-2025";"Immunology (Q1); Medicine (miscellaneous) (Q1); Sports Science (Q1)";"Health Professions; Immunology and Microbiology; Medicine"
8;12198;"Journal of Bone and Joint Surgery";journal;"15351386, 00219355";"Lippincott Williams and Wilkins";Yes;No;1,912;Q1;324;385;1265;12062;6614;977;4,91;31,33;22,21;0;United States;Northern America;"Lippincott Williams and Wilkins";"1946-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
9;15222;"Arthroscopy - Journal of Arthroscopic and Related Surgery";journal;"07498063, 15263231";"W.B. Saunders";No;No;1,829;Q1;203;590;1749;15716;5789;918;3,16;26,64;19,21;12;United States;Northern America;"W.B. Saunders";"1985-2025";"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)";"Health Professions; Medicine"
10;14000156196;"International Journal of Sports Physiology and Performance";journal;"15550265, 15550273";"Human Kinetics Publishers Inc.";No;No;1,623;Q1;109;262;640;7248;2704;607;3,64;27,66;19,58;1;United States;Northern America;"Human Kinetics Publishers Inc.";"2006-2026";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
11;19894;"Medicine and Science in Sports and Exercise";journal;"15300315, 01959131";"Lippincott Williams and Wilkins";No;No;1,617;Q1;280;299;966;12367;5242;900;5,47;41,36;35,14;0;United States;Northern America;"Lippincott Williams and Wilkins";"1969-2026";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
12;19842;"Exercise and Sport Sciences Reviews";journal;"15383008, 00916331";"Lippincott Williams and Wilkins Ltd.";No;No;1,609;Q1;127;36;105;2299;589;88;5,77;63,86;26,77;0;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1973-2026";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
13;19700187632;"Physical Education and Sport Pedagogy";journal;"17408989, 17425786";"Taylor and Francis Ltd.";No;No;1,604;Q1;65;40;138;2253;772;137;5,05;56,33;40,94;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2026";"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine; Social Sciences"
14;12100156754;"Sport Management Review";journal;"14413523";"Taylor and Francis Ltd.";No;No;1,579;Q1;93;40;169;2992;981;168;4,73;74,80;37,38;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2026";"Business and International Management (Q1); Management Science and Operations Research (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1); Sports Science (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)";"Business, Management and Accounting; Decision Sciences; Health Professions"
15;12257;"Journal of Orthopaedic Trauma";journal;"08905339, 15312291";"Wolters Kluwer Health";No;No;1,568;Q1;159;282;839;6373;2712;781;2,89;22,60;20,00;0;United States;Northern America;"Wolters Kluwer Health";"1987-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
16;21723;"Journal of Shoulder and Elbow Surgery";journal;"15326500, 10582746";"Elsevier Inc.";No;No;1,511;Q1;187;459;1198;14634;5420;1125;4,18;31,88;18,67;17;United States;Northern America;"Elsevier Inc.";"1992-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
17;23478;"Journal of Physiology";journal;"00223751, 14697793";"John Wiley and Sons Inc";No;No;1,510;Q1;285;425;1567;22353;5956;1137;3,68;52,60;35,92;0;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1878-2026";"Physiology (Q1); Sports Science (Q1)";"Biochemistry, Genetics and Molecular Biology; Health Professions"
18;19874;"Journal of Science and Medicine in Sport";journal;"18781861, 14402440";"Elsevier Ltd";No;No;1,496;Q1;141;219;688;6681;3079;636;4,11;30,51;32,19;21;United Kingdom;Western Europe;"Elsevier Ltd";"1998-2026";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
