Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
11;29603;"Clinical Orthopaedics and Related Research";journal;"15281132, 0009921X";"";No;No;1,908;Q1;254;521;1717;10165;5386;1492;2,74;19,51;18,75;39;United States;Northern America;"";"1963-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)";"Health Professions; Medicine"
12;19890;"Knee Surgery, Sports Traumatology, Arthroscopy";journal;"09422056, 14337347";"John Wiley and Sons Inc";No;No;1,845;Q1;167;532;1486;17297;5104;1416;3,23;32,51;16,96;48;Germany;Western Europe;"John Wiley and Sons Inc";"1993-2026";"Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
13;14000156196;"International Journal of Sports Physiology and Performance";journal;"15550265, 15550273";"Human Kinetics Publishers Inc.";No;No;1,749;Q1;109;237;494;6958;1700;469;3,34;29,36;18,37;2;United States;Northern America;"Human Kinetics Publishers Inc.";"2006-2026";"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)";"Health Professions; Medicine"
14;13068;"Spine";journal;"03622436, 15281159";"Wolters Kluwer Health";No;No;1,736;Q1;310;531;1641;14627;5000;1495;2,77;27,55;21,45;0;United States;Northern America;"Wolters Kluwer Health";"1976-2026";"Neurology (clinical) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)";"Health Professions; Medicine"
15;19874;"Journal of Science and Medicine in Sport";journal;"18781861, 14402440";"Elsevier Ltd";No;No;1,714;Q1;141;231;459;6601;1944;434;4,08;28,58;31,62;37;United Kingdom;Western Europe;"Elsevier Ltd";"1998-2026";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
16;20346;"Scandinavian Journal of Medicine and Science in Sports";journal;"16000838, 09057188";"Blackwell Munksgaard";No;No;1,541;Q1;158;222;611;8974;2383;590;3,67;40,42;31,66;31;Denmark;Western Europe;"Blackwell Munksgaard";"1991-2026";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
17;16270;"Archives of Physical Medicine and Rehabilitation";journal;"1532821X, 00039993";"W.B. Saunders";No;No;1,501;Q1;235;301;1021;12606;3503;898;2,98;41,88;48,45;109;United States;Northern America;"W.B. Saunders";"1945-2026";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
18;23454;"Journal of Applied Physiology";journal;"87507587, 15221601";"American Physiological Society";No;No;1,471;Q1;276;394;1195;18535;3448;984;2,59;47,04;30,69;31;United States;Northern America;"American Physiological Society";"1948-1976, 1985-2026";"Medicine (miscellaneous) (Q1); Physiology (Q1); Physiology (medical) (Q1); Sports Science (Q1)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
19;15222;"Arthroscopy - Journal of Arthroscopic and Related Surgery";journal;"07498063, 15263231";"W.B. Saunders";No;No;1,459;Q1;203;383;1103;9203;3636;757;3,19;24,03;14,90;24;United States;Northern America;"W.B. Saunders";"1985-2025";"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)";"Health Professions; Medicine"
20;12257;"Journal of Orthopaedic Trauma";journal;"08905339, 15312291";"Wolters Kluwer Health";No;No;1,451;Q1;159;296;765;7017;1938;687;2,40;23,71;17,73;0;United States;Northern America;"Wolters Kluwer Health";"1987-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
21;19871;"Journal of Athletic Training";journal;"10626050, 1938162X";"National Athletic Trainers' Association Inc.";Yes;No;1,442;Q1;146;133;389;5216;1163;374;2,37;39,22;42,68;27;United States;Northern America;"National Athletic Trainers' Association Inc.";"1996-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
22;19889;"Journal of Strength and Conditioning Research";journal;"10648011, 15334287";"NSCA National Strength and Conditioning Association";Yes;No;1,366;Q1;185;415;1334;15171;3822;1325;2,59;36,56;20,63;0;United States;Northern America;"NSCA National Strength and Conditioning Association";"1987-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
23;19873;"Journal of Orthopaedic and Sports Physical Therapy";journal;"19381344, 01906011";"Movement Science Media";No;No;1,357;Q1;161;171;439;5421;1081;314;2,14;31,70;44,36;30;United States;Northern America;"Movement Science Media";"1979-2026";"Medicine (miscellaneous) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
24;14033;"Psychology of Sport and Exercise";journal;"14690292";"Elsevier B.V.";No;No;1,282;Q1;133;106;325;5670;1194;318;3,49;53,49;42,20;19;Netherlands;Western Europe;"Elsevier B.V.";"2000-2026";"Applied Psychology (Q1); Sports Science (Q1)";"Health Professions; Psychology"
25;23483;"Knee";journal;"18735800, 09680160";"Elsevier B.V.";No;No;1,244;Q1;102;203;603;6495;1434;570;2,06;32,00;15,30;9;Netherlands;Western Europe;"Elsevier B.V.";"1994-2026";"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)";"Health Professions; Medicine"
26;19864;"International Journal of Sports Medicine";journal;"01724622, 14393964";"Georg Thieme Verlag";No;No;1,217;Q1;135;141;552;5291;1338;542;2,38;37,52;24,25;5;Germany;Western Europe;"Georg Thieme Verlag";"1980-2026";"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)";"Health Professions; Medicine"
27;19700187632;"Physical Education and Sport Pedagogy";journal;"17408989, 17425786";"Taylor and Francis Ltd.";No;No;1,209;Q1;65;44;119;2105;364;119;2,54;47,84;52,85;9;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2026";"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine; Social Sciences"
28;28025;"Gait and Posture";journal;"18792219, 09666362";"Elsevier B.V.";No;No;1,188;Q1;186;401;983;12242;2854;956;2,50;30,53;36,47;39;Netherlands;Western Europe;"Elsevier B.V.";"1993-2026";"Biophysics (Q1); Orthopedics and Sports Medicine (Q1); Rehabilitation (Q1); Sports Science (Q1)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
29;23402;"European Journal of Applied Physiology";journal;"14396319, 14396327";"Springer Science and Business Media Deutschland GmbH";No;No;1,186;Q1;176;242;738;10265;1928;710;2,46;42,42;24,76;16;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1996, 2000-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Public Health, Environmental and Occupational Health (Q1); Sports Science (Q1); Physiology (medical) (Q2)";"Health Professions; Medicine"
30;12100156754;"Sport Management Review";journal;"14413523";"Taylor and Francis Ltd.";No;No;1,159;Q1;93;42;135;2943;542;132;3,88;70,07;29,79;8;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2026";"Business and International Management (Q1); Management Science and Operations Research (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1); Sports Science (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)";"Business, Management and Accounting; Decision Sciences; Health Professions"
31;15846;"Journal of Biomechanics";journal;"18732380, 00219290";"Elsevier Ltd";No;No;1,147;Q1;240;431;1653;15389;4938;1627;2,64;35,71;27,51;23;United Kingdom;Western Europe;"Elsevier Ltd";"1968-2026";"Biomedical Engineering (Q1); Biophysics (Q1); Orthopedics and Sports Medicine (Q1); Rehabilitation (Q1); Sports Science (Q1)";"Biochemistry, Genetics and Molecular Biology; Engineering; Health Professions; Medicine"
32;20934;"Sport, Education and Society";journal;"14701243, 13573322";"Routledge";No;No;1,128;Q1;90;62;195;3282;628;193;2,95;52,94;46,96;8;United Kingdom;Western Europe;"Routledge";"1996-2026";"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine; Social Sciences"
33;21090;"Journal of Sports Sciences";journal;"1466447X, 02640414";"Routledge";No;No;1,127;Q2;181;321;786;11866;2345;766;2,70;36,97;26,82;21;United Kingdom;Western Europe;"Routledge";"1983-2026";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)";"Health Professions; Medicine"
34;5800207375;"European Journal of Sport Science";journal;"17461391, 15367290";"John Wiley and Sons Inc";Yes;No;1,122;Q2;94;153;414;5152;1233;409;2,68;33,67;26,42;7;United Kingdom;Western Europe;"John Wiley and Sons Inc";"2001-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)";"Health Professions; Medicine"
35;30091;"Journal of Sport and Exercise Psychology";journal;"08952779, 15432904";"Human Kinetics Publishers Inc.";No;No;1,117;Q2;129;38;155;1847;453;152;2,63;48,61;32,20;4;United States;Northern America;"Human Kinetics Publishers Inc.";"1988-1991, 1996-2026";"Applied Psychology (Q1); Sports Science (Q2)";"Health Professions; Psychology"
36;4700151731;"Applied Physiology, Nutrition and Metabolism";journal;"17155320, 17155312";"Canadian Science Publishing";No;No;1,112;Q2;119;172;604;7116;1638;578;2,62;41,37;38,54;20;Canada;Northern America;"Canadian Science Publishing";"2006-2026";"Medicine (miscellaneous) (Q1); Endocrinology, Diabetes and Metabolism (Q2); Nutrition and Dietetics (Q2); Physiology (Q2); Physiology (medical) (Q2); Sports Science (Q2)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Nursing"
37;4000152113;"Journal of Sports Science and Medicine";journal;"13032968";"Journal of Sport Science and Medicine";Yes;No;1,091;Q2;93;80;344;2802;878;325;2,12;35,03;21,66;0;Turkey;Middle East;"Journal of Sport Science and Medicine";"2002-2026";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)";"Health Professions; Medicine"
38;19818;"Clinical Journal of Sport Medicine";journal;"15363724, 1050642X";"Lippincott Williams and Wilkins";No;No;0,999;Q2;125;92;285;2671;684;257;2,26;29,03;32,61;0;United States;Northern America;"Lippincott Williams and Wilkins";"1993-2026";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)";"Health Professions; Medicine"
39;12272;"Journal of Rehabilitation Medicine";journal;"16512081, 16501977";"Medical Journals Sweden AB";Yes;No;0,997;Q2;121;104;412;3729;865;393;1,87;35,86;48,06;42;Sweden;Western Europe;"Medical Journals Sweden AB";"2001-2026";"Medicine (miscellaneous) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Sports Science (Q2)";"Health Professions; Medicine"
40;21170;"Clinical Biomechanics";journal;"18791271, 02680033";"Elsevier Ltd";No;No;0,982;Q2;157;170;544;6217;1276;540;2,06;36,57;29,68;6;United Kingdom;Western Europe;"Elsevier Ltd";"1986-2026";"Biophysics (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q2)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
41;40900;"International Journal of Sport Nutrition and Exercise Metabolism";journal;"1526484X, 15432742";"Human Kinetics Publishers Inc.";No;No;0,963;Q2;98;67;203;2172;518;198;2,65;32,42;33,57;3;United States;Northern America;"Human Kinetics Publishers Inc.";"1996-1998, 2000-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Nutrition and Dietetics (Q2); Sports Science (Q2)";"Health Professions; Medicine; Nursing"
42;21078;"Journal of Sport Management";journal;"1543270X, 08884773";"Human Kinetics Publishers Inc.";No;No;0,943;Q2;96;41;141;2548;366;136;2,52;62,15;27,62;4;United States;Northern America;"Human Kinetics Publishers Inc.";"1987, 1989, 1995-2026";"Decision Sciences (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)";"Business, Management and Accounting; Decision Sciences; Health Professions; Medicine"
43;17900156719;"International Review of Sport and Exercise Psychology";journal;"1750984X, 17509858";"Routledge";No;No;0,930;Q2;68;10;36;828;145;34;2,88;82,80;43,90;0;United Kingdom;Western Europe;"Routledge";"2009-2026";"Applied Psychology (Q2); Sports Science (Q2)";"Health Professions; Psychology"
44;15724;"Pediatric Exercise Science";journal;"15432920, 08998493";"Human Kinetics Publishers Inc.";No;No;0,892;Q2;78;68;207;2278;361;152;1,31;33,50;37,69;6;United States;Northern America;"Human Kinetics Publishers Inc.";"1989-1990, 1992, 1996-2026";"Orthopedics and Sports Medicine (Q1); Pediatrics, Perinatology and Child Health (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)";"Health Professions; Medicine"
45;19870;"Journal of Applied Sport Psychology";journal;"10413200, 15331571";"Taylor and Francis Ltd.";No;No;0,890;Q2;99;31;98;1498;235;97;2,26;48,32;45,92;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2026";"Applied Psychology (Q2); Sports Science (Q2)";"Health Professions; Psychology"
46;21595;"Adapted Physical Activity Quarterly";journal;"15432777, 07365829";"Human Kinetics Publishers Inc.";No;No;0,889;Q2;70;33;65;1180;183;60;2,12;35,76;58,16;5;United States;Northern America;"Human Kinetics Publishers Inc.";"1988-2026";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)";"Health Professions"
47;19912;"Physical Therapy in Sport";journal;"1466853X, 18731600";"Churchill Livingstone";No;No;0,888;Q2;72;82;168;3032;371;160;1,91;36,98;33,53;7;United States;Northern America;"Churchill Livingstone";"2000-2026";"Medicine (miscellaneous) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Orthopedics and Sports Medicine (Q2); Sports Science (Q2)";"Health Professions; Medicine"
48;29191;"Journal of Aging and Physical Activity";journal;"10638652, 1543267X";"Human Kinetics Publishers Inc.";No;No;0,874;Q2;76;78;222;3756;530;219;2,15;48,15;48,26;14;United States;Northern America;"Human Kinetics Publishers Inc.";"1994, 1996-2026";"Gerontology (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Geriatrics and Gerontology (Q2); Sports Science (Q2)";"Health Professions; Medicine; Nursing"
49;13921;"High Altitude Medicine and Biology";journal;"15578682, 15270297";"Mary Ann Liebert Inc.";No;No;0,861;Q2;67;66;174;1914;279;139;1,45;29,00;31,71;2;United States;Northern America;"Mary Ann Liebert Inc.";"2000-2026";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2); Sports Science (Q2); Physiology (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
50;19916;"Research in Sports Medicine";journal;"15438635, 15438627";"Taylor and Francis Ltd.";No;No;0,839;Q2;54;45;105;1498;220;104;2,03;33,29;27,92;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2003-2026";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Medicine (miscellaneous) (Q2); Orthopedics and Sports Medicine (Q2); Sports Science (Q2)";"Health Professions; Medicine"
51;19819;"Clinics in Sports Medicine";journal;"1556228X, 02785919";"W.B. Saunders";No;No;0,838;Q2;100;55;183;2740;342;146;1,78;49,82;21,10;3;United States;Northern America;"W.B. Saunders";"1982-2026";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Orthopedics and Sports Medicine (Q2); Sports Science (Q2)";"Health Professions; Medicine"
52;18142;"Sociology of Sport Journal";journal;"15432785, 07411235";"Human Kinetics Publishers Inc.";No;No;0,832;Q2;74;28;77;1514;141;76;1,40;54,07;38,18;1;United States;Northern America;"Human Kinetics Publishers Inc.";"1986, 1995-2026";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sociology and Political Science (Q1); Orthopedics and Sports Medicine (Q2); Sports Science (Q2)";"Health Professions; Medicine; Social Sciences"
53;13073;"Sports Medicine and Arthroscopy Review";journal;"10628592, 15381951";"Lippincott Williams and Wilkins Ltd.";No;No;0,824;Q2;67;39;125;1650;214;113;1,74;42,31;21,65;0;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1993-2026";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Orthopedics and Sports Medicine (Q2); Sports Science (Q2)";"Health Professions; Medicine"
54;19700169885;"European Sport Management Quarterly";journal;"1746031X, 16184742";"Routledge";No;No;0,797;Q2;63;34;88;2208;236;86;2,87;64,94;24,68;4;United Kingdom;Western Europe;"Routledge";"2010-2026";"Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Sports Science (Q2)";"Business, Management and Accounting; Health Professions"
55;21100199724;"Qualitative Research in Sport, Exercise and Health";journal;"21596778, 2159676X";"Taylor and Francis Ltd.";No;No;0,792;Q2;57;44;113;2461;224;112;1,86;55,93;50,52;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2026";"Health (social science) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Social Psychology (Q2); Sports Science (Q2)";"Health Professions; Psychology; Social Sciences"
56;14897;"Journal of Electromyography and Kinesiology";journal;"18735711, 10506411";"Elsevier Ltd";No;No;0,778;Q2;123;95;393;3212;802;388;1,83;33,81;31,25;13;United Kingdom;Western Europe;"Elsevier Ltd";"1991-2026";"Biophysics (Q2); Neurology (clinical) (Q2); Sports Science (Q2); Neuroscience (miscellaneous) (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Neuroscience"
57;11700154617;"Journal of the International Society of Sports Nutrition";journal;"15502783";"Taylor and Francis Ltd.";Yes;No;0,775;Q2;79;45;202;2681;467;197;3,21;59,58;30,80;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007-2026";"Food Science (Q1); Nutrition and Dietetics (Q2); Sports Science (Q2)";"Agricultural and Biological Sciences; Health Professions; Nursing"
58;29803;"Research Quarterly for Exercise and Sport";journal;"02701367, 21683824";"Taylor and Francis Ltd.";No;No;0,770;Q2;111;55;182;2128;342;166;1,78;38,69;52,05;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2026";"Medicine (miscellaneous) (Q2); Nephrology (Q2); Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Sports Science (Q2)";"Health Professions; Medicine"
59;19876;"Journal of Sport Rehabilitation";journal;"15433072, 10566716";"Human Kinetics Publishers Inc.";No;No;0,769;Q2;70;97;170;2785;286;165;1,37;28,71;40,38;3;United States;Northern America;"Human Kinetics Publishers Inc.";"1992-2026";"Rehabilitation (Q1); Biophysics (Q2); Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Sports Science (Q2)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
60;21472;"Journal of Teaching in Physical Education";journal;"02735024, 15432769";"Human Kinetics Publishers Inc.";No;No;0,757;Q2;76;43;110;2182;193;102;1,40;50,74;51,35;2;United States;Northern America;"Human Kinetics Publishers Inc.";"1986, 1992-1993, 1996-2026";"Education (Q1); Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Sports Science (Q2)";"Health Professions; Medicine; Social Sciences"
61;14018;"Human Movement Science";journal;"01679457, 18727646";"Elsevier B.V.";No;No;0,756;Q2;114;142;426;6408;969;421;2,05;45,13;36,38;12;Netherlands;Western Europe;"Elsevier B.V.";"1982-2026";"Biophysics (Q2); Medicine (miscellaneous) (Q2); Orthopedics and Sports Medicine (Q2); Sports Science (Q2); Experimental and Cognitive Psychology (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Psychology"
62;5800228211;"European Physical Education Review";journal;"1356336X, 17412749";"SAGE Publications Ltd";No;No;0,754;Q2;63;34;96;1727;213;96;2,05;50,79;43,18;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2026";"Education (Q1); Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Sports Science (Q2)";"Health Professions; Medicine; Social Sciences"
63;15281;"Sport Psychologist";journal;"15432793, 08884781";"Human Kinetics Publishers Inc.";No;No;0,753;Q2;88;34;96;1661;192;96;1,55;48,85;32,65;2;United States;Northern America;"Human Kinetics Publishers Inc.";"1989, 1991-1992, 1996-2026";"Applied Psychology (Q2); Sports Science (Q2)";"Health Professions; Psychology"
64;15800154701;"PM&amp;R";journal;"19341482, 19341563";"John Wiley and Sons Inc";No;No;0,746;Q2;97;233;577;6926;1064;496;1,63;29,73;39,33;29;United States;Northern America;"John Wiley and Sons Inc";"2009-2026";"Rehabilitation (Q1); Medicine (miscellaneous) (Q2); Neurology (clinical) (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Sports Science (Q2); Neurology (Q3)";"Health Professions; Medicine; Neuroscience"
65;21076;"Sports Biomechanics";journal;"17526116, 14763141";"Taylor and Francis Ltd.";No;No;0,696;Q3;61;43;109;1400;176;109;1,25;32,56;22,29;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2002-2026";"Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Sports Science (Q3)";"Health Professions; Medicine"
66;23446;"Journal of Applied Biomechanics";journal;"15432688, 10658483";"Human Kinetics Publishers Inc.";No;No;0,675;Q3;76;72;247;2148;369;247;1,36;29,83;28,00;4;United States;Northern America;"Human Kinetics Publishers Inc.";"1995-2026";"Biophysics (Q2); Orthopedics and Sports Medicine (Q2); Rehabilitation (Q2); Sports Science (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
67;19816;"Biology of Sport";journal;"0860021X, 20831862";"Institute of Sport";Yes;No;0,641;Q3;57;54;155;1940;300;154;1,96;35,93;24,70;2;Poland;Eastern Europe;"Institute of Sport";"1996-2026";"Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Physiology (medical) (Q3); Sports Science (Q3)";"Health Professions; Medicine"
68;16263;"American Journal of Physical Medicine and Rehabilitation";journal;"15377385, 08949115";"Lippincott Williams and Wilkins Ltd.";No;No;0,636;Q3;126;244;575;6062;878;434;1,44;24,84;42,23;0;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1987-2026";"Physical Therapy, Sports Therapy and Rehabilitation (Q2); Rehabilitation (Q2); Sports Science (Q3)";"Health Professions; Medicine"
69;147231;"International Review for the Sociology of Sport";journal;"10126902, 14617218";"SAGE Publications Ltd";No;No;0,632;Q3;80;53;180;3276;385;178;2,11;61,81;30,36;10;United Kingdom;Western Europe;"SAGE Publications Ltd";"1966-2002, 2004-2026";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Sports Science (Q3)";"Health Professions; Social Sciences"
