id,exclude,data_statement,data_available,data_link,code_statement,code_available,code_link,spss,stata,jamovi,jasp,r,python,prism,excel,sas,lisrel,matlab,statistica,winbugs,bioestat,stan,pspp,medcalc,other
10.108002701367.2025.2542816.pdf,,none,,,,,,,,TRUE,,,,,,,,,,,,,,,
10.108002701367.2026.2612967.pdf,,online,FALSE,https://www.cdc.gov/brfss/index.html,,,,,,,,TRUE,,,,,,,,,,,,,
10.108014763141.2016.1226381.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.108014763141.2016.1269187.pdf,,none,,,,,,,,,,,,,,,,TRUE,,,,,,,
10.108014763141.2016.1271448.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.108014763141.2017.1353129.pdf,,none,,,,,,TRUE,,,,,,,TRUE,,,TRUE,,,,,,,
10.108014763141.2017.1391328.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.108014763141.2018.1452966.pdf,,none,,,,,,,,,,TRUE,,,,,,,,,,,,,
10.108014763141.2018.1458892.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.108014763141.2019.1585472.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.108014763141.2019.1675751.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.108014763141.2020.1743744.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.108014763141.2020.1788630.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,maple
10.108014763141.2021.1887342.pdf,,none,,,,,,,,,,TRUE,,,,,,,,,,,,,
10.108014763141.2021.1890198.pdf,,none,,,,,,,,,,,,,,,,TRUE,,,,,,,
10.108014763141.2021.1922742.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.108014763141.2021.1925335.pdf,,onrequest,,,,,,,,,,,,,,,,,,,,,,,
10.108014763141.2021.1954236.pdf,,none,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,
10.108014763141.2021.1970796.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.108014763141.2021.1986124.pdf,,none,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,
