"","authors","title","doi","journal","year"
"5603","Zahradnik, David; Hamill, Joseph; Plesek, Jan; Blaschova, Denisa; Burda, Michal; Nieminen, Miika; Casula, Victor; Farana, Roman; Uchytil, Jaroslav; Slovak, Lukas; Skypala, Jiri; Jandacka, Daniel","Association between T2 relaxation time and biomechanical loading of the anterior cruciate ligament in healthy individuals","10.1080/14763141.2025.2458475","SPORTS BIOMECHANICS",2026
"6372","Vasquez-Bonilla, Aldo A.; Brazo-Sayavera, Javier; Timon, Rafael; Olcina, Guillermo","Monitoring Muscle Oxygen Asymmetry as a Strategy to Prevent Injuries in Footballers","10.1080/02701367.2022.2026865","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2023
"1418","Feros, Simon Andrew; Gerhardy, Michael H.; Fyfe, Jackson J.; Dwyer, Dan B.","The kinematics of pace bowling associated with lumbar bone stress injuries: Disparities observed in elite male and female cricketers","10.1177/17479541241249814","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2024
"4494","Ortiz, Jaelson G.; da Silva, Juliano F.; Carminatti, Lorival J.; Guglielmo, Luiz G. A.; Diefenthaeler, Fernando","Effect of 8 Weeks Soccer Training on Health and Physical Performance in Untrained Women",NA,"JOURNAL OF SPORTS SCIENCE AND MEDICINE",2018
"5591","Wickramasinghe, Indika; Walpitage, Dammika","Weathering the game: A comprehensive study of weather impact on ODI cricket","10.1177/17479541251319477","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2025
"6076","Gjestvang, Christina; Tangen, Elene Mauseth; Arntzen, Miriam Basma; Haakstad, Lene A. H.","How Do Fitness Club Members Differentiate in Background Characteristics, Exercise Motivation, and Social Support? A Cross-Sectional Study","10.52082/jssm.2023.235","JOURNAL OF SPORTS SCIENCE AND MEDICINE",2023
"5099","Baghurst, Timothy; Quick, Simon","Analysis of coach and athletic director turnover in the Florida school system","10.1177/17479541261457430","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2026
"6431","Hatano, Genki; Matsuo, Shingo; Asai, Yuji; Suzuki, Shigeyuki; Iwata, Masahiro","Effects of High-Intensity Stretch with Moderate Pain and Maximal Intensity Stretch without Pain on Flexibility","10.52082/jssm.2022.171","JOURNAL OF SPORTS SCIENCE AND MEDICINE",2022
"7386","Brown, Justin; Del Pozzi, Andrew T.; Hicks-Little, Charlie","Anxiety Disorders and Exercise: The Role for Health and Fitness Professionals","10.1519/SSC.0000000000000465","STRENGTH AND CONDITIONING JOURNAL",2019
"5065","Gokeler, Alli; Forelli, Florian; Moiroux-Sahraoui, Ayrton; Benjaminse, Anne; Giesche, Florian; McKeon, Patrick","Rewiring recovery: Integrating sensory-motor-cognitive strategies to optimize ACL rehabilitation","10.1016/j.ptsp.2026.101918","PHYSICAL THERAPY IN SPORT",2026
"4057","Takagi, Tokio; Murata, Munenori; Yokozawa, Toshiharu; Shiraki, Hitoshi","Dynamics of pelvis rotation about its longitudinal axis during the golf swing","10.1080/14763141.2019.1585472","SPORTS BIOMECHANICS",2019
"6745","Kim, Han Soo; Kang, Minsoo; Kim, Minjung","Rasch calibration and optimal categorization of the sport fandom questionnaire","10.1108/IJSMS-11-2020-0208","INTERNATIONAL JOURNAL OF SPORTS MARKETING & SPONSORSHIP",2022
"130","Rostron, Zachary P. J.; Feller, Julian A.; McClelland, Jodie A.; Whitehead, Timothy S.; Webster, Kate E.","Change in modified star excursion balance test performance between 6 and 12 months after anterior cruciate ligament reconstruction","10.1016/j.ptsp.2026.101941","PHYSICAL THERAPY IN SPORT",2026
"371","Wallimann, Hannes; Mehr, Anna","The Impact of the UEFA Women's EURO on Hotel Overnight Stays: Evidence From a Causal Analysis","10.1177/15270025261434474","JOURNAL OF SPORTS ECONOMICS",2026
"4016","Clemente, Filipe Manuel; Mendes, Bruno; Teles Bredt, Sarah da Gloria; Praca, Gibson Moreira; Silverio, Andre; Carrico, Sandro; Duarte, Emanuel","Perceived Training Load, Muscle Soreness, Stress, Fatigue, and Sleep Quality in Professional Basketball: A Full Season Study","10.2478/hukin-2019-0002","JOURNAL OF HUMAN KINETICS",2019
"6764","Jang, Wonseok (Eric); Kim, Young Jun; Chang, Kyungro; Kim, Taehee","The effects of high-tech cameras on sports consumers' viewing experiences: the moderating role of sports involvement","10.1108/IJSMS-09-2020-0162","INTERNATIONAL JOURNAL OF SPORTS MARKETING & SPONSORSHIP",2022
"5663","Goodrum, Morven; Viljoen, Carel; Kaulback, Kelly","Incidence, severity, and risk factors for injuries in female trail runners - A retrospective cross-sectional study","10.1016/j.ptsp.2024.11.004","PHYSICAL THERAPY IN SPORT",2025
"2750","Boussana, Alain; Galy, Olivier; Le Gallais, Daniel; Hue, Olivier","The Effect of an Olympic Distance Triathlon on Pulmonary Diffusing Capacity and its Recovery 24 Hours Later","10.2478/hukin-2021-0108","JOURNAL OF HUMAN KINETICS",2021
"5654","Kowalski, Tomasz; Granda, Dominika; Klusiewicz, Andrzej","Practical Application of Respiratory Muscle Training in Endurance Sports","10.1519/SSC.0000000000000842","STRENGTH AND CONDITIONING JOURNAL",2024
"4535","Nikolaidis, Pantelis Theodoros; Knechtle, Beat","Pacing strategies by age in marathon cross-country skiing","10.1080/00913847.2018.1430450","PHYSICIAN AND SPORTSMEDICINE",2018
"8085","Cheung, Roy T. H.; Wong, Rodney Y. L.; Chung, Tim K. W.; Choi, R. T.; Leung, Wendy W. Y.; Shek, Diana H. Y.","Relationship between foot strike pattern, running speed, and footwear condition in recreational distance runners","10.1080/14763141.2016.1226381","SPORTS BIOMECHANICS",2017
"2246","Yi, Wenjuan; Wang, Dexin; Chen, Chao; Wu, Rui","Acute effects of ballistic and non-ballistic conditioning activities on the punching impact of amateur boxers","10.1177/17479541221119390","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2023
"1783","Jedelhauser, Fabienne; Flepp, Raphael; Franck, Egon","Overshadowed by Popularity: The Value of Second-Tier Stars in European Football","10.1177/15270025231187880","JOURNAL OF SPORTS ECONOMICS",2023
"3658","O'Brien, Benjamin; Juhas, Brett; Bienkiewicz, Marta; Buloup, Frank; Bringoux, Lionel; Bourdin, Christophe","Sonification of Golf Putting Gesture Reduces Swing Movement Variability in Novices","10.1080/02701367.2020.1726859","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2021
"1203","Faria, Larissa Oliveira; Fortes, Leonardo de Sousa; Albuquerque, Maicon Rodrigues","The Influence of Mental Fatigue on Physical Performance and Its Relationship with Rating Perceived Effort and Enjoyment in Older Adults","10.1080/02701367.2024.2409932","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2025
"2213","Campbell, Rhiannon A.; Bradshaw, Elizabeth J.; Ball, Nick; Hunter, Adam; Spratford, Wayne","The use of inertial measurement units to quantify forearm loading and symmetry during gymnastics vault training sessions","10.1080/14763141.2022.2117642","SPORTS BIOMECHANICS",2023
"6444","Hogg, Jennifer A.; Avedesian, Jason M.; Diekfuss, Jed A.; Acocello, Shellie N.; Shimmin, Rylee D.; Kelley, Elisabeth A.; Kostrub, Deborah A.; Myer, Gregory D.; Wilkerson, Gary B.","Sex Moderates the Relationship between Perceptual-Motor Function and Single-Leg Squatting Mechanics","10.52082/jssm.2022.104","JOURNAL OF SPORTS SCIENCE AND MEDICINE",2022
"2882","Penalva, Francisco; Guzman, Jose F.; Martinez-Gallego, Rafael; Crespo, Miguel","Design and validation of a tennis tool to control on-court technical and tactical training content","10.1177/17479541211027428","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2022
"777","Yu, Shaoyong; Wang, Haolin","Gender differences in leadership behaviors of female coaches and their leadership effectiveness","10.1177/17479541251352099","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2025
"1397","Beaumont, Patrick L.; van den Hoek, Daniel; Holland, Justin; Garrett, Joel","A Scoping Review of the Physiological Profiles of Motorsport Drivers: Implications for Athlete Training","10.1519/SSC.0000000000000808","STRENGTH AND CONDITIONING JOURNAL",2024
"344","Barrett, Steve; King, Michael; Wichitaksorn, Nuttanan; Prosser, Owain; Liu, Qinwei; Spencer, Kirsten","Understanding the within match differences and variability during international youth male football match play in Oceania","10.1177/17479541251406508","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2026
"1545","Rimer, Ernie; Petway, Adam; Jones, Paul; Schultz, Ross; Hayes, Brett; Suchomel, Timothy J.; Daily, Jennifer; Nichols, Katie; Leblanc, Blake; Antle, Becky; Ivey, Pat","Building Comprehensive Integration of Health and Performance Support Through Sport Science","10.1519/SSC.0000000000000794","STRENGTH AND CONDITIONING JOURNAL",2024
"2157","Miltko, Adriana; Milner, Clare E.; Powell, Douglas W.; Paquette, Max R.","The influence of surface and speed on biomechanical external loads obtained from wearable devices in rearfoot strike runners","10.1080/14763141.2022.2129089","SPORTS BIOMECHANICS",2022
"2291","Wang, Shin-Yuan; Lan, Pei-Tzu; Hsu, Tai-Ger","Learning effects of triple continuous jumping snatch intervention on the second pull of the snatch for novice lifters","10.1177/17479541221113024","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2023
"8142","Gouttebarge, Vincent; Kerkhoffs, Gino M. M. J.","A prospective cohort study on symptoms of common mental disorders among current and retired professional ice hockey players","10.1080/00913847.2017.1338497","PHYSICIAN AND SPORTSMEDICINE",2017
"2974","Kolias, Pavlos; Stavropoulos, Nikolaos; Papadopoulou, Alexandra; Kostakidis, Theodoros","Evaluating basketball player's rotation line-ups performance via statistical markov chain modelling","10.1177/17479541211009083","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2022
"6657","McCosker, Chris; Otte, Fabian; Rothwell, Martyn; Davids, Keith","Principles for technology use in athlete support across the skill level continuum","10.1177/17479541211033471","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2022
"4562","Haegele, Justin A.; Yessick, Amanda; Zhu, Xihe","Females With Visual Impairments in Physical Education: Exploring the Intersection Between Disability and Gender Identities","10.1080/02701367.2018.1484067","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2018
"36","Jiang, Dongting; Tang, Yue; Zhang, Ningyi; Zhou, Jianhao; Zhong, Yuming; Weldon, Anthony; Li, Yongming","Beyond one-size-fits-all: Professional development needs of Chinese elite coaches across strength-power, endurance, and team sports","10.1177/17479541261471822","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2026
"7001","Uzelac-Sciran, Tomislav; Sarabon, Nejc; Mikulic, Pavle","Effects of 8-Week Jump Training Program on Sprint and Jump Performance and Leg Strength in Pre- and Post-Peak Height Velocity Aged Boys",NA,"JOURNAL OF SPORTS SCIENCE AND MEDICINE",2020
"2191","Kawama, Raki; Okudaira, Masamichi; Shibata, Seigo; Shimasaki, Tatsuya; Maemura, Hirohiko; Tanigawa, Satoru","Elite Rugby Players Have Unique Morphological Characteristics of the Hamstrings and Quadriceps Femoris Muscles According to their Playing Positions","10.2478/hukin-2022-0039","JOURNAL OF HUMAN KINETICS",2022
"1991","Farnell, Alex","False Start? An Analysis of NFL Penalties With and Without Crowds","10.1177/15270025221148997","JOURNAL OF SPORTS ECONOMICS",2023
"1686","Souissi, Mohamed Abdelkader; Trabelsi, Omar; Tounsi, Olfa; Hawani, Aymen; Fekih, Sofien; Souissi, Hichem; Gharbi, Adnen; Amor, Ahlem; Scharenberg, Swantje; Souissi, Nizar","Optimizing video feedback for snatch technical error correction in young weightlifters: Comparing the effectiveness of different video playback speeds","10.1177/17479541231208917","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2024
"8088","Murray, Andrew M.; Turner, Anthony P.; Sproule, John; Cardinale, Marco","Practices & attitudes towards recovery in elite Asian & UK adolescent athletes","10.1016/j.ptsp.2016.12.005","PHYSICAL THERAPY IN SPORT",2017
"8112","Inglis, Paul; Bird, Stephen P.","Movement Demands and Running Intensities of Semi-Professional Rugby League Players during A 9's Tournament: A Case Study",NA,"JOURNAL OF SPORTS SCIENCE AND MEDICINE",2017
"2232","Paulsen, Kathleen M.; McDermott, Brendon P.; Myers, Aaron J.; Gray, Michelle; Lo, Wen-Juo; Ganio, Matthew S.","Reliability and Validity of the 30-15 Intermittent Field Test With and Without a Soccer Ball","10.1080/02701367.2022.2098230","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2023
"1385","Agha, Nola; Berri, David J.; Bhat, Akash; Van Gilder, Jennifer","The Effect of National Origin and Skin Color on Playing Time in the WNBA","10.1177/15270025241260030","JOURNAL OF SPORTS ECONOMICS",2024
"2499","Huang, Meizhen; Mo, Shiwei; Chan, Peter Pak-Kwan; Chan, Zoe Y. S.; Zhang-Lea, Janet H.; Cheung, Roy T. H.","The influence of running shoes on familiarization time for treadmill running biomechanics evaluation","10.1080/14763141.2022.2046144","SPORTS BIOMECHANICS",2023
"6068","Quintana-Cepedal, Marcos; Rodriguez, Miguel Angel; Nuno-Iglesias, Nerea; Del Valle, Miguel; Crespo, Irene; Olmedillas, Hugo","Injury characteristics of young elite inline speed skaters: A one season retrospective study","10.1080/00913847.2023.2205454","PHYSICIAN AND SPORTSMEDICINE",2024
"1002","de Souza, Joao Victor Moretti; Zamboni, Kaio Julio; Santos, Thiago de Oliveira; Mezzadri, Fernando Marinho","(Dis)connection between sports development and high-performance in Brazilian sports policies","10.1177/17479541251320534","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2025
"6514","Haischer, Michael H.; Howenstein, Jacob; Sabick, Michelle; Kipp, Kristof","Torso kinematic patterns associated with throwing shoulder joint loading and ball velocity in Little League pitchers","10.1080/14763141.2021.2015427","SPORTS BIOMECHANICS",2024
"4728","Callegari, Gustavo A.; Novaes, Jefferson S.; Neto, Gabriel R.; Dias, Ingrid; Garrido, Nuno D.; Dani, Caroline","Creatine Kinase and Lactate Dehydrogenase Responses After Different Resistance and Aerobic Exercise Protocols","10.1515/hukin-2017-0071","JOURNAL OF HUMAN KINETICS",2017
"2874","Franke, Rodrigo de Azevedo; Rodrigues, Rodrigo; Geremia, Jeam Marcel; Teixeira, Bruno Costa; Boeno, Francesco; Rabello, Rodrigo; Baroni, Bruno Manfredini; Lima, Claudia Silveira","Moderate intensity cycling is better than running on recovery of eccentric exercise-induced muscle damage","10.1016/j.ptsp.2021.04.004","PHYSICAL THERAPY IN SPORT",2021
"2367","Casals, Marti; Daunis-i-Estadella, Pepus","Violinboxplot and enhanced radar plot as components of effective graphical dashboards: An educational example of sports analytics","10.1177/17479541221099638","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2023
"2794","Parvaresh, Kevin C.; Wichman, Daniel M.; Alter, Thomas D.; Clapp, Ian M.; Nho, Shane J.","High rate of return to tennis after hip arthroscopy for patients with femoroacetabular impingement syndrome","10.1016/j.ptsp.2021.06.007","PHYSICAL THERAPY IN SPORT",2021
"4969","Klostermann, Andre; Kung, Philip","Gaze Strategies in Skateboard Trick Jumps: Spatiotemporal Constraints in Complex Locomotion","10.1080/02701367.2016.1229864","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2017
"7701","Tokutake, Gaku; Kuramochi, Rieko; Murata, Yuki; Enoki, Shota; Koto, Yuki; Shimizu, Takuya","The Risk Factors of Hamstring Strain Injury Induced by High-Speed Running",NA,"JOURNAL OF SPORTS SCIENCE AND MEDICINE",2018
"1115","Los Arcos, Asier; Gonzalez-Artetxe, Asier; Lombardero, Sara; Esnal-Arrizabalaga, Oihan; Aginaga, Jokin","Exploring the Impact of Social Relationship Modification on Young Female Soccer Players' Performance in Small-Sided Games","10.5114/jhk/189425","JOURNAL OF HUMAN KINETICS",2025
"5235","Leung, Willie; Tiralla, Gillian; Shi, Lu; Lee, Jinhyun","Associations Between Demographic Factors and Muscle-Strengthening Activity Participation Among Individuals With Disabilities","10.1080/02701367.2026.2612967","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2026
"2923","Hoelbling, Dominik; Grafinger, Manfred; Smiech, Martin Mattaeus; Cizmic, Dea; Dabnichki, Peter; Baca, Arnold","Acute response on general and sport specific hip joint flexibility to training with novel sport device","10.1080/14763141.2021.1922742","SPORTS BIOMECHANICS",2024
"4589","Taylor, Jeffrey B.; Anh-Dung Nguyen; Griffin, Janet R.; Ford, Kevin R.","Effects of turf and cleat footwear on plantar load distributions in adolescent American football players during resisted pushing","10.1080/14763141.2016.1271448","SPORTS BIOMECHANICS",2018
"8006","Hortiguela Alcala, David; Hernando Garijo, Alejandra","Teaching Games for Understanding: A Comprehensive Approach to Promote Student's Motivation in Physical Education","10.1515/hukin-2017-0144","JOURNAL OF HUMAN KINETICS",2017
"4397","Lack, Simon; Neal, Bradley; Silva, Danilo De Oliveira; Barton, Christian","How to manage patellofemoral pain - Understanding the multifactorial nature and treatment options","10.1016/j.ptsp.2018.04.010","PHYSICAL THERAPY IN SPORT",2018
"7220","Miyashita, Theresa L.; Diakogeorgiou, Eleni; Marrie, Kaitlyn","The role of subconcussive impacts on sway velocities in Division I men's lacrosse players","10.1080/14763141.2018.1458892","SPORTS BIOMECHANICS",2020
"3009","Oranchuk, Dustin J.; Diewald, Shelley N.; McGrath, Joey W.; Nelson, Andre R.; Storey, Adam G.; Cronin, John B.","Kinetic and kinematic profile of eccentric quasi-isometric loading","10.1080/14763141.2021.1890198","SPORTS BIOMECHANICS",2024
"7174","Bercovitz, Tomer; Herman, Amir; Solomonow-Avnon, Deborah; Wolf, Alon; Kodesh, Einat","Plantar pressure modifications in experienced runners following an exhaustive run","10.1080/14763141.2020.1743744","SPORTS BIOMECHANICS",2022
"3735","Langford, Emily L.; Wilhoite, Sydni; Collum, Connor; Weekley, Hunter; Cook, Jordan; Adams, Kara; Snarr, Ronald L.","Battle Rope Conditioning","10.1519/SSC.0000000000000476","STRENGTH AND CONDITIONING JOURNAL",2019
"4467","Kenneally-Dabrowski, Claire J. B.; Serpell, Benjamin G.; Spratford, Wayne","Are accelerometers a valid tool for measuring overground sprinting symmetry?","10.1177/1747954117716790","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2018
"40","Cardozo, Erico Aurelio Abreu","Between passion and algorithm: sports betting, algorithmic personalization and the Brazilian fan in the era of next-generation sports fandom","10.1108/IJSMS-03-2026-0193","INTERNATIONAL JOURNAL OF SPORTS MARKETING & SPONSORSHIP",2026
"5623","Fuller, Gordon Ward; Brown, James; Dunlop, Michael; Raftery, Martin; Falvey, eanna Cian","The diagnostic accuracy of EyeGuide Focus testing for concussion in elite male Rugby players","10.1080/00913847.2025.2451606","PHYSICIAN AND SPORTSMEDICINE",2025
"1487","Conway Kleven, Brooke; Chien, Lung-Chang; Young, Daniel L.; Cross, Chad L.; Labus, Brian; Bernick, Charles","Repetitive head impacts among professional fighters: a pilot study evaluating Traumatic Encephalopathy Syndrome and postural balance","10.1080/00913847.2024.2325331","PHYSICIAN AND SPORTSMEDICINE",2024
"3051","Popchak, Adam; Poploski, Kathleen; Patterson-Lynch, Brittany; Nigolian, Jacob; Lin, Albert","Reliability and validity of a return to sports testing battery for the shoulder","10.1016/j.ptsp.2020.12.003","PHYSICAL THERAPY IN SPORT",2021
"1075","Klein, Matthew; Patterson, Chris; Karim, Annette; Cuddeford, Tyler","Hopping kinetic differences in masters runners with and without Achilles tendinopathy","10.1080/14763141.2025.2451689","SPORTS BIOMECHANICS",2025
"7358","Smaruj, Miroslaw; Orkwiszewska, Anna; Adam, Marek; Jezyk, Damian; Kostrzewa, Maciej; Laskowski, Radoslaw","Changes in Anthropometric Traits and Body Composition Over a Four-Year Period in Elite Female Judoka Athletes","10.2478/hukin-2019-0115","JOURNAL OF HUMAN KINETICS",2019
"5011","Boge, Veysel; Peker, Alper Tunga; Kilci, Abdullah; Arruda, Danilo; Goncalves, Bruno; Lago-Penas, Carlos","The association of team surface area and tactical formation on match running performance in elite soccer","10.1177/17479541261475500","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2026
"5676","Chun, Alex G.; Snyder, Eli M.; Obana, Kyle K.; Ashinsky, Beth G.; Parisien, Robert L.; Bottiglieri, Thomas S.; Ahmad, Christopher S.; Trofa, David P.","The 10-year decreasing trend of youth soccer head injuries and concussions presenting to US emergency departments","10.1080/00913847.2024.2421154","PHYSICIAN AND SPORTSMEDICINE",2025
"4556","Plautard, Mathieu; Guilhem, Gael; Fohanno, Vincent; Nordez, Antoine; Cornu, Christophe; Guevel, Arnaud","Comparison of two methodological approaches for the mechanical analysis of single-joint isoinertial movement using a customised isokinetic dynamometer","10.1080/14763141.2016.1269187","SPORTS BIOMECHANICS",2018
"4202","Kim, Taejung; Chiu, Weisheng","Consumer acceptance of sports wearable technology: the role of technology readiness","10.1108/IJSMS-06-2017-0050","INTERNATIONAL JOURNAL OF SPORTS MARKETING & SPONSORSHIP",2019
"2360","Fu, Allan C. L.; Sanders, Ross H.","The Effectiveness of Coaching the Australian Recommended Fundamental Overarm Throwing Skill Criteria for Less-Skilled Adolescents","10.1080/02701367.2022.2070120","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2023
"5096","Rodriguez-Campos, Manrique; Crespo, Miguel; Guzman, Jose Francisco; Martinez-Gallego, Rafael","The tactical evolution of the serve: A sequence analysis in elite junior tennis players","10.1177/17479541261455249","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2026
